url,category_code,category_description,date_added,source,notes
http://www.absinth.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.absolut.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.accessnow.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.acdi-cida.gc.ca/,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.aceshigh.com/,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.acquisitionx.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.actionaid.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.adl.org/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.adventist.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.advocate.com/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.advocatesforyouth.org/,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
